id,ime,eu
004,AFGANISTAN,N
008,ALBANIJA,N
009,KOSOVO,N
010,ANTARKTIKA,N
012,ALŽIRIJA,N
016,AMERIŠKA SAMOA,N
020,ANDORA,N
024,ANGOLA,N
028,ANTIGVA IN BARBUDA,N
031,AZERBAJDŽAN,N
032,ARGENTINA,N
036,AVSTRALIJA,N
040,AVSTRIJA,D
044,BAHAMI,N
048,BAHREIN,N
050,BANGLADEŠ,N
051,ARMENIJA,N
052,BARBADOS,N
056,BELGIJA,D
060,BERMUDI,N
064,BUTAN,N
068,BOLIVIJA,N
070,BOSNA IN HERCEGOVINA,N
072,BOCVANA,N
074,BOUVETOV OTOK,N
076,BRAZILIJA,N
084,BELIZE,N
086,BRIT.TER.INDIJSKEGA OCEANA,N
090,SALOMONOVO OTOČJE,N
092,DEVIŠKO OTOČJE (VB),N
096,BRUNEI (J. BORNEO),N
100,BOLGARIJA,D
104,MJANMAR,N
108,BURUNDI,N
112,BELORUSIJA,N
116,"KAMBODŽA, KAMPUČIJA",N
120,KAMERUN,N
124,KANADA,N
132,ZELENOORTSKI OTOKI,N
136,KAJMANSKI OTOKI,N
140,CENTRALNOAFRIŠKA REPUBLIKA,N
144,ŠRILANKA,N
148,ČAD,N
152,ČILE,N
156,KITAJSKA,N
158,TAJVAN,N
162,BOŽIČNI OTOK,N
166,KOKOSOVI (KEELING) OTOKI,N
170,KOLUMBIJA,N
174,KOMORI,N
175,MAYOTTE,N
178,KONGO,N
180,KONGO - DEMOKRATIČNA REPUBLIKA,N
184,COOKOVO OTOČJE,N
188,KOSTARIKA,N
191,HRVAŠKA,N
192,KUBA,N
196,CIPER,D
200,ČEŠKOSLOVAŠKA (NERAZPOREJENO),N
203,ČEŠKA,D
204,BENIN,N
208,DANSKA,D
212,DOMINIKA,N
214,DOMINIKANSKA REPUBLIKA,N
218,EKVADOR,N
222,SALVADOR,N
226,EKVATORIALNA GVINEJA,N
231,ETIOPIJA,N
232,ERITREJA,N
233,ESTONIJA,D
234,FERSKO OTOČJE,N
238,FALKLANDSKO OTOČJE (MALVINI),N
239,JUŽNA GEORGIJA IN OTOČJE JUŽNI SANDWICH,N
242,FIDŽI,N
246,FINSKA,D
248,ALAND ISLANDS,N
250,FRANCIJA,D
254,FRANCOSKA GVAJANA,N
258,FRANCOSKA POLINEZIJA,N
260,FRANCOSKI JUŽNI TERITORIJ,N
262,DŽIBUTI,N
266,GABON,N
268,GRUZIJA,N
270,GAMBIJA,N
275,"PALESTINSKO OZEMLJE, ZASEDENO",N
276,NEMČIJA,D
288,GANA,N
292,GIBRALTAR,N
296,KIRIBATI,N
300,GRČIJA,D
304,GRENLANDIJA,N
308,GRENADA,N
312,GUADELOUPE,N
316,GUAM,N
320,GVATEMALA,N
324,GVINEJA,N
328,GVAJANA,N
332,HAITI,N
334,HEARDOVO IN MCDONALDOVO OTOČJE,N
336,VATIKAN,N
340,HONDURAS,N
344,HONGKONG,N
348,MADŽARSKA,D
352,ISLANDIJA,N
356,INDIJA,N
360,INDONEZIJA,N
364,IRAN,N
368,IRAK,N
372,IRSKA,D
376,IZRAEL,N
380,ITALIJA,D
384,SLONOKOŠČENA OBALA,N
388,JAMAJKA,N
392,JAPONSKA,N
398,KAZAHSTAN,N
400,JORDANIJA,N
404,KENIJA,N
408,SEVERNA KOREJA,N
410,JUŽNA KOREJA,N
414,KUVAJT,N
417,KIRGIZISTAN,N
418,LAOS,N
422,LIBANON,N
426,LESOTO,N
428,LATVIJA,D
430,LIBERIJA,N
434,LIBIJA,N
438,LIECHTENSTEIN,N
440,LITVA,D
442,LUKSEMBURG,D
446,MACAO,N
450,MADAGASKAR,N
454,MALAVI,N
458,MALEZIJA,N
462,MALDIVI,N
466,MALI,N
470,MALTA,D
474,MARTINIK,N
478,MAVRETANIJA,N
480,MAURITIUS,N
484,MEHIKA,N
492,MONAKO,N
496,MONGOLIJA,N
498,MOLDAVIJA,N
499,ČRNA GORA,N
500,MONTSERRAT,N
504,MAROKO,N
508,MOZAMBIK,N
512,OMAN,N
516,NAMIBIJA,N
520,NAURU,N
524,NEPAL,N
528,NIZOZEMSKA,D
530,NIZOZEMSKI ANTILI,N
531,CURACAO,N
533,ARUBA,N
534,SINT MAARTEN (DUTCH PART),N
535,BONAIRE - SINT EUSTATIUS AND SABA,N
540,NOVA KALEDONIJA,N
548,VANUATU,N
554,NOVA ZELANDIJA,N
558,NIKARAGVA,N
562,NIGER,N
566,NIGERIJA,N
570,NIUE,N
574,NORFOLŠKI OTOK,N
578,NORVEŠKA,N
580,SEVERNO MARIJANSKO OTOČJE,N
581,STRANSKI ZUNANJI OTOKI ZDRUŽENIH DRŽAV,N
583,MIKRONEZIJA,N
584,MARSHALLOVO OTOČJE,N
585,PALAU,N
586,PAKISTAN,N
591,PANAMA,N
598,PAPUA NOVA GVINEJA,N
600,PARAGVAJ,N
604,PERU,N
608,FILIPINI,N
612,PITCAIRN,N
616,POLJSKA,D
620,PORTUGALSKA,D
624,GVINEJA BISAO,N
626,VZHODNI TIMOR,N
630,PORTORIKO,N
634,KATAR,N
638,REUNION,N
642,ROMUNIJA,D
643,RUSKA FEDERACIJA,N
646,RUANDA,N
654,SAINT HELENA,N
659,SAINT KITTS IN NEVIS,N
660,ANGVILLA,N
662,SAINT LUCIJA,N
666,SAINT PIERRE IN MIQUELON,N
670,SAINT VINCENT IN GRENADINE,N
674,SAN MARINO,N
678,SAO TOME IN PRINCIPE,N
682,SAUDSKA ARABIJA,N
686,SENEGAL,N
688,SRBIJA,N
690,SEJŠELI,N
694,SIERRA LEONE,N
702,SINGAPUR,N
703,SLOVAŠKA,D
704,VIETNAM,N
705,SLOVENIJA,N
706,SOMALIJA,N
710,JUŽNA AFRIKA,N
716,ZIMBABVE,N
724,ŠPANIJA,D
728,SOUTH SUDAN,N
729,SUDAN,N
732,ZAHODNA SAHARA,N
740,SURINAM,N
744,SVALBARD IN JAN MAYEN,N
748,SVAZI (NGVANE),N
752,ŠVEDSKA,D
756,ŠVICA,N
760,SIRIJA,N
762,TADŽIKISTAN,N
764,TAJSKA,N
768,TOGO,N
772,TOKELAU,N
776,TONGA,N
780,TRINIDAD IN TOBAGO,N
784,ZDRUŽENI ARABSKI EMIRATI,N
788,TUNIZIJA,N
792,TURČIJA,N
795,TURKMENISTAN,N
796,OTOČJI TURKS IN CAICOS,N
798,TUVALU,N
800,UGANDA,N
804,UKRAJINA,N
807,MAKEDONIJA,N
810,SOVJETSKA ZVEZA-NERAZPOREJENO,N
818,EGIPT,N
826,VELIKA BRITANIJA,D
831,GUERNSEY,N
832,JERSEY,N
833,ISLE OF MAN,N
834,TANZANIJA,N
840,ZDRUŽENE DRŽAVE AMERIKE,N
850,DEVIŠKO OTOČJE (ZDA),N
854,BURKINA FASO (GORNJA VOLTA),N
858,URUGVAJ,N
860,UZBEKISTAN,N
862,VENEZUELA,N
876,OTOČJI WALLIS IN FORTUNA,N
882,SAMOA,N
887,JEMEN,N
891,SRBIJA IN ČRNA GORA,N
894,ZAMBIJA,N
901,KOSOVO,N
940,PALESTINSKA OSV.ORG.,N
999,"BREZ DRŽAVLJANSTVA, DRŽAVLJANSTVO NEZNANO",N
