id,ime
L101,SLOVENŠČINA (NA POKLICNI MATURI)
L103,SLOVENŠČINA (VIŠJA RAVEN)  (NA POKLICNI MATURI)
L121,PRAKTIČNA PROTETIKA IN ZAGOVOR (NA POKLICNI MATURI)
L201,SLOVENŠČINA KOT DRUGI JEZIK (NA POKLICNI MATURI)
L221,ITALIJANŠČINA (NA POKLICNI MATURI)
L222,ITALIJANŠČINA (VIŠJA RAVEN) (NA POKLICNI MATURI)
L241,ANGLEŠČINA (NA POKLICNI MATURI)
L251,NEMŠČINA (NA POKLICNI MATURI)
L401,MATEMATIKA (NA POKLICNI MATURI)
L411,FIZIKA (NA POKLICNI MATURI)
L421,BIOLOGIJA (NA POKLICNI MATURI)
L431,KEMIJA (NA POKLICNI MATURI)
L501,GEOGRAFIJA (NA POKLICNI MATURI)
L502,OPTIKA (NA POKLICNI MATURI)
L511,ZGODOVINA (NA POKLICNI MATURI)
L521,SOCIOLOGIJA (NA MATURI)
L531,FILOZOFIJA (NA MATURI)
L541,PSIHOLOGIJA (NA MATURI)
L602,FOTOGRAFIJA (NA POKLICNI MATURI)
L701,EKONOMIJA (NA POKLICNI MATURI)
L781,RAČUNALNIŠTVO (NA POKLICNI MATURI)
L902,ELEKTRONSKE KOMUNIKACIJE (NA POKLICNI MATURI)
M000,NEZNANI MATURITETNI PREDMET
M101,SLOVENSKI JEZIK IN KNJIŠEVNOST (NA MATURI)
M103,SLOVENŠČINA (NA MATURI)
M111,ITALIJANŠČINA (KOT MATERNI JEZIK) (NA MATURI)
M131,MADŠARŠČINA (KOT MATERNI JEZIK) (NA MATURI)
M191,DRUGI JEZIK NA NAR. MEŠ. OBM. - SLOVENŠČINA (NA MATURI)
M201,SLOVENŠČINA NA NAR. MEŠ. OBM. NA OBALI (NA MATURI)
M211,DRUGI JEZIK NA NAR. MEŠ. OBM. -  ITALIJANŠČINA (OSN. RAVEN)
M212,DRUGI JEZIK NA NAR. MEŠ. OBM. -  ITALIJANŠČINA (VIŠ. RAVEN)
M221,ITALIJANŠČINA (OSNOVNA RAVEN) (NA MATURI)
M222,ITALIJANŠČINA (VIŠJA RAVEN) (NA MATURI)
M231,DRUGI JEZIK NA NA NAR. MEŠ. OBM. - MADŠARŠČINA  (NA MATURI)
M241,ANGLEŠČINA (OSNOVNA RAVEN) (NA MATURI)
M251,NEMŠČINA (OSNOVNA RAVEN) (NA MATURI)
M401,MATEMATIKA (OSNOVNA RAVEN) (NA MATURI)
M411,FIZIKA (NA MATURI)
M421,BIOLOGIJA (NA MATURI)
M431,KEMIJA (NA MATURI)
M441,BIOTEHNOLOGIJA (NA MATURI)
M501,GEOGRAFIJA (NA MATURI)
M511,ZGODOVINA (NA MATURI)
M521,SOCIOLOGIJA (NA MATURI)
M531,FILOZOFIJA (NA MATURI)
M541,PSIHOLOGIJA (NA MATURI)
M551,LIKOVNA TEORIJA (NA MATURI)
M561,UMETNOSTNA ZGODOVINA  (NA MATURI)
M571,GLASBA (NA MATURI)
M581,GLASBA - GLASBENI STAVEK (NA MATURI)
M591,GLASBA - PETJE IN INŠTRUMENT (NA MATURI)
M601,GLASBA - JAZZ IN ZABAVNA GLASBA (NA MATURI)
M611,GLASBA - BALET (NA MATURI)
M631,SODOBNI PLES (NA MATURI)
M641,TEORIJA IN ZGODOVINA DRAME IN GLEDALIŠČE (NA MATURI)
M701,EKONOMIJA (NA MATURI)
M711,PRAVO (NA MATURI)
M721,GRADBENA MEHANIKA (NA MATURI)
M731,GEODEZIJA (NA MATURI)
M741,MEHANIKA (NA MATURI)
M751,NAVTIKA (NA MATURI)
M761,RUDARSTVO (NA MATURI)
M771,ELEKTROTEHNIKA (NA MATURI)
M781,RAČUNALNIŠTVO (NA MATURI)
M791,LESARSTVO (NA MATURI)
M801,MATERIALI - LESARSTVO (NA MATURI)
M803,MATERIALI - GRADBENIŠTVO (NA MATURI)
M811,HRVAŠČINA (OSNOVNA RAVEN) (NA MATURI)
M812,HRVAŠČINA (VIŠJA RAVEN) (NA MATURI)
M901,1. PREDMET NA MATURI - NOSTRIFIKACIJA
M902,2. PREDMET NA MATURI - NOSTRIFIKACIJA
M903,3. PREDMET NA MATURI - NOSTRIFIKACIJA
M904,4. PREDMET NA MATURI - NOSTRIFIKACIJA
M905,5. PREDMET NA MATURI - NOSTRIFIKACIJA
SDZ1,PREIZKUS SPOSOBNOSTI ZA DIZAJN - NOTRANJA OPREMA NA FD
SDZ2,PREIZKUS  SPOS. ZA DIZAJN - TEKSTILIJE IN OBLAČILA NA FD
SDZ3,PREIZKUS SPOS. ZA DIZAJN - VIZUALNE KOMUNIKACIJE NA FD
SDZ4,PREIZKUS SPOS. ZA DIZAJN - DIZAJN MANAGEMENT NA FD
S012,PREIZKUS SPOSOBNOSTI  ZA LIKOVNO PEDAGOGIKO NA PEF- UL
S013,PREIZKUS SPOS. ZA LOGOPEDIJO IN SURDOPEDAGOGIKO NA PEF - UL
S112,PREIZKUS SPOSOBNOSTI ZA  ZOB. PROTETIKO NA  ZDRAVSTVENI FAK.
S161,PREIZKUS SPOSOBNOSTI ZA ARHITEKTURO NA FAK. ZA GRADBENIŠTVO
S221,PREIZKUS SPOSOBNOSTI ZA ŠPORTNO VZGOJO  NA  FAK. ZA ŠPORT
S222,PREIZKUS SPOSOBNOSTI ZA ŠPORTNO TRENIRANJE  NA  FA. ZA ŠPORT
S223,PREIZKUS SPOSOBNOSTI ZA KINEZIOLOGIJO  NA  FAK. ZA ŠPORT
S251,PREIZKUS SPOSOBNOSTI ZA ARHITEKTURO NA FAK. ZA ARHITEKTURO
S252,PREIZKUS SPOSOBNOSTI ZA URBANIZEM NA FAK. ZA ARHITEKTURO
S321,PREIZKUS SPOSOBNOSTI ZA  OBLIKOVANJE TEKSTILIJ NA NTF-ULJ
S42A,PREIZKUS SPOSOBNOSTI ZA GRAFIČNO OBLIKOVANJE NA ALUO
