id,ime
1,TUJINA
2,AJDOVŠČINA
3,BELTINCI
4,BLED
5,BOHINJ
6,BOROVNICA
7,BOVEC
8,BRDA
9,BREZOVICA
10,BREŽICE
11,TIŠINA
12,CELJE
13,CERKLJE NA GORENJSKEM
14,CERKNICA
15,CERKNO
16,ČRENŠOVCI
17,ČRNA NA KOROŠKEM
18,ČRNOMELJ
19,DESTRNIK
20,DIVAČA
21,DOBREPOLJE
22,DOBROVA - POLHOV GRADEC
23,DOL PRI LJUBLJANI
24,DOMŽALE
25,DORNAVA
26,DRAVOGRAD
27,DUPLEK
28,GORENJA VAS - POLJANE
29,GORIŠNICA
30,GORNJA RADGONA
31,GORNJI GRAD
32,GORNJI PETROVCI
33,GROSUPLJE
34,ŠALOVCI
35,HRASTNIK
36,HRPELJE - KOZINA
37,IDRIJA
38,IG
39,ILIRSKA BISTRICA
40,IVANČNA GORICA
41,IZOLA - ISOLA
42,JESENICE
43,JURŠINCI
44,KAMNIK
45,KANAL
46,KIDRIČEVO
47,KOBARID
48,KOBILJE
49,KOČEVJE
50,KOMEN
51,KOPER - CAPODISTRIA
52,KOZJE
53,KRANJ
54,KRANJSKA GORA
55,KRŠKO
56,KUNGOTA
57,KUZMA
58,LAŠKO
59,LENART
60,LENDAVA - LENDVA
61,LITIJA
62,LJUBLJANA
63,LJUBNO
64,LJUTOMER
65,LOGATEC
66,LOŠKA DOLINA
67,LOŠKI POTOK
68,LUČE
69,LUKOVICA
70,MAJŠPERK
71,MARIBOR
72,MEDVODE
73,MENGEŠ
74,METLIKA
75,MEŽICA
76,MIREN - KOSTANJEVICA
77,MISLINJA
78,MORAVČE
79,MORAVSKE TOPLICE
80,MOZIRJE
81,MURSKA SOBOTA
82,MUTA
83,NAKLO
84,NAZARJE
85,NOVA GORICA
86,NOVO MESTO
87,ODRANCI
88,ORMOŽ
89,OSILNICA
90,PESNICA
91,PIRAN - PIRANO
92,PIVKA
93,PODČETRTEK
94,PODVELKA
95,POSTOJNA
96,PREDDVOR
97,PTUJ
98,PUCONCI
99,RAČE - FRAM
100,RADEČE
101,RADENCI
102,RADLJE OB DRAVI
103,RADOVLJICA
104,RAVNE NA KOROŠKEM
105,RIBNICA
106,ROGAŠOVCI
107,ROGAŠKA SLATINA
108,ROGATEC
109,RUŠE
110,SEMIČ
111,SEVNICA
112,SEŽANA
113,SLOVENJ GRADEC
114,SLOVENSKA BISTRICA
115,SLOVENSKE KONJICE
116,STARŠE
117,SVETI JURIJ OB ŠČAVNICI
118,ŠENČUR
119,ŠENTILJ
120,ŠENTJERNEJ
121,ŠENTJUR
122,ŠKOCJAN
123,ŠKOFJA LOKA
124,ŠKOFLJICA
125,ŠMARJE PRI JELŠAH
126,ŠMARTNO OB PAKI
127,ŠOŠTANJ
128,ŠTORE
129,TOLMIN
130,TRBOVLJE
131,TREBNJE
132,TRŽIČ
133,TURNIŠČE
134,VELENJE
135,VELIKE LAŠČE
136,VIDEM
137,VIPAVA
138,VITANJE
139,VODICE
140,VOJNIK
141,VRHNIKA
142,VUZENICA
143,ZAGORJE OB SAVI
144,ZAVRČ
145,ZREČE
146,ŽELEZNIKI
147,ŽIRI
148,BENEDIKT
149,BISTRICA OB SOTLI
150,BLOKE
151,BRASLOVČE
152,CANKOVA
153,CERKVENJAK
154,DOBJE
155,DOBRNA
156,DOBROVNIK
157,DOLENJSKE TOPLICE
158,GRAD
159,HAJDINA
160,HOČE - SLIVNICA
161,HODOŠ
162,HORJUL
163,JEZERSKO
164,KOMENDA
165,KOSTEL
166,KRIŽEVCI
167,LOVRENC NA POHORJU
168,MARKOVCI
169,MIKLAVŽ NA DRAVSKEM POLJU
170,MIRNA PEČ
171,OPLOTNICA
172,PODLEHNIK
173,POLZELA
174,PREBOLD
175,PREVALJE
176,RAZKRIŽJE
177,RIBNICA NA POHORJU
178,SELNICA OB DRAVI
179,SODRAŽICA
180,SOLČAVA
181,SVETA ANA
182,SVETI ANDRAŽ V SLOVENSKIH GORICAH
183,ŠEMPETER - VRTOJBA
184,TABOR
185,TRNOVSKA VAS
186,TRZIN
187,VELIKA POLANA
188,VERŽEJ
189,VRANSKO
190,ŽALEC
191,ŽETALE
192,ŽIROVNICA
193,ŽUŽEMBERK
194,ŠMARTNO PRI LITIJI
195,APAČE
196,CIRKULANE
197,SVETA TROJICA V SLOVENSKIH GORICAH
198,SVETI TOMAŽ
199,MAKOLE
200,SREDIŠČE OB DRAVI
201,POLJČANE
202,KOSTANJEVICA NA KRKI
203,MOKRONOG - TREBELNO
204,STRAŽA
205,ŠMARJEŠKE TOPLICE
206,RENČE - VOGRSKO
207,GORJE
208,LOG - DRAGOMER
209,REČICA OB SAVINJI
210,SVETI JURIJ V SLOVENSKIH GORICAH
211,ŠENTRUPERT
212,MIRNA
