ID_POKLIC,IME_POKLIC
57311,ADMINISTRATIVNO UPRAVNI TEHNIK
58801,ARANŽERSKI TEHNIK
52101,AVTOSERVISNI TEHNIK
58300,DRUŽBOSLOVNA DEJAVNOST
59921,EKONOMSKA GIMNAZIJA
59920,EKONOMSKA GIMNAZIJA (ŠPORTNA)
57008,EKONOMSKI TEHNIK
57006,EKONOMSKO-KOMERCIALNI TEHNIK
52501,ELEKTROTEHNIK
52538,ELEKTROTEHNIK ELEKTRONIK
52502,ELEKTROTEHNIK ENERGETIK
52541,ELEKTROTEHNIK TELEKOMUNIKACIJ
53101,FARMACEVTSKI TEHNIK
58811,FOTOGRAFSKI TEHNIK
56606,GASTRONOMSKI TEHNIK
56605,GASTRONOMSKO-TURISTIČNI TEHNIK
55101,GEODETSKI TEHNIK
51611,GEOTEHNIK
59911,GIMNAZIJA
59021,GLASBENIK INSTRUMENTALIST
59023,GLASBENIK JAZZ ZABAVNE GLASBE
59022,GLASBENIK SOLO PEVEC
59001,GLASBENIK SPLOŠNE SMERI
56631,GOSTINSKI POSLOVODJA
56603,GOSTINSKI TEHNIK
51001,GOZDARSKI TEHNIK
55211,GRADBENI TEHNIK
58822,GRAFIČNI OBLIKOVALEC
54501,GRAFIČNI TEHNIK
53201,GUMARSKI TEHNIK
50162,HORTIKULTURNI TEHNIK
58821,INDUSTRIJSKI OBLIKOVALEC
53001,KEMIJSKI TEHNIK
59912,KLASIČNA GIMNAZIJA
50101,KMETIJSKI TEHNIK
50103,KMETIJSKO GOSPODARSKI TEHNIK
50102,KMETIJSKO GOSPODINJSKI TEHNIK
50115,KMETIJSKO-PODJETNIŠKI TEHNIK
56511,KOMERCIALNI TEHNIK
54112,KONFEKCIJSKI MODELAR
54111,KONFEKCIJSKI (TEKSTILNI) TEHNIK
54811,KOZMETIČNI TEHNIK
59421,LABORATORIJSKI TEHNIK
56001,LADIJSKI TEHNIK
51101,LESARSKI TEHNIK
55811,LOGISTIČNI TEHNIK
19911,MATURITETNI TEČAJ
54502,MEDIJSKI TEHNIK
59914,MEDNARODNA MATURA
51701,METALURŠKI TEHNIK
58824,MODNI OBLIKOVALEC
58401,NARAVOSLOVNO-MATEMATIČNI TEHNIK
50181,NARAVOVARSTVENI TEHNIK
52212,OBRATNI STROJNI TEHNIK
54301,OBUTVENI (ČEVLJARSKI) TEHNIK
55182,OKOLJEVARSTVENI TEHNIK
51201,PAPIRNIŠKI TEHNIK
58021,PEDAGOŠKA GIMNAZIJA
58901,PLESALEC
56002,PLOVBNI (NAVTIČNI) TEHNIK
57411,POLICIST
57315,POSLOVNI TEHNIK
55801,PROMETNI TEHNIK
52701,PTT TEHNIK
51601,RUDARSKI TEHNIK
59441,SANITARNI TEHNIK
58721,SPLOŠNA KULTURA
59401,SREDNJA MEDICINSKA SESTRA - SREDNJI ZDRAVSTVENIK
52001,STROJNI TEHNIK
59910,ŠPORTNA GIMNAZIJA
52542,TEHNIK ELEKTRONSKIH KOMUNIKACIJ
52231,TEHNIK KMETIJSKE MEHANIZACIJE
56611,TEHNIK KUHARSTVA
59422,TEHNIK LABORATORIJSKE BIOMEDICINE
52401,TEHNIK MEHATRONIKE
58825,"TEHNIK OBLIKOVANJA, OBLIKOVALEC"
58810,TEHNIK OPTIK
52551,TEHNIK RAČUNALNIŠTVA
53501,TEHNIK STEKLARSTVA
56621,TEHNIK STREŽBE
55899,TEHNIK VAROVANJA
55923,TEHNIK VLEKE
59931,TEHNIŠKA GIMNAZIJA
54001,TEKSTILNO-MEHANSKI TEHNIK
56501,TRGOVINSKI (ŽIVILSKI) POSLOVODJA
57007,TRGOVSKA AKADEMIJA
56604,TURISTIČNI TEHNIK
59940,UMETNIŠKA GIMNAZIJA
54191,USNJARSKO PREDELOVALNI TEHNIK
54115,USTVARJALEC MODNIH OBLAČIL
50401,VETERINARSKI TEHNIK
57401,VOJAŠKA ŠOLA
50161,VRTNARSKI TEHNIK
58001,VZGOJITELJ PREDŠOLSKIH OTROK - PREDŠOLSKA VZGOJA
59915,WALDORFSKA GIMNAZIJA
59411,ZOBOTEHNIK
55901,ŽELEZNIŠKI PROMETNO-TRANSPORTNI TEHNIK
50572,ŽIVILSKI TEHNIK
50573,ŽIVILSKI TEHNIK - OPERATER
50575,ŽIVILSKO PREHRANSKI TEHNIK
