ID_POSTA,IME_POSTA
0,NEZNANA POŠTA
1000,LJUBLJANA
1001,LJUBLJANA - POŠTNI PREDALI
1210,LJUBLJANA - ŠENTVID
1211,LJUBLJANA - ŠMARTNO
1215,MEDVODE
1216,SMLEDNIK
1217,VODICE
1218,KOMENDA
1219,LAZE V TUHINJU
1221,MOTNIK
1222,TROJANE
1223,BLAGOVICA
1225,LUKOVICA
1230,DOMŽALE
1231,LJUBLJANA - ČRNUČE
1233,DOB
1234,MENGEŠ
1235,RADOMLJE
1236,TRZIN
1241,KAMNIK
1242,STAHOVICA
1251,MORAVČE
1252,VAČE
1260,LJUBLJANA - POLJE
1261,LJUBLJANA - DOBRUNJE
1262,DOL PRI LJUBLJANI
1270,LITIJA
1272,POLŠNIK
1273,DOLE PRI LITIJI
1274,GABROVKA
1275,ŠMARTNO PRI LITIJI
1276,PRIMSKOVO
1281,KRESNICE
1282,SAVA
1290,GROSUPLJE
1291,ŠKOFLJICA
1292,IG
1293,ŠMARJE - SAP
1294,VIŠNJA GORA
1295,IVANČNA GORICA
1296,ŠENTVID PRI STIČNI
1301,KRKA
1303,ZAGRADEC
1310,RIBNICA
1311,TURJAK
1312,VIDEM - DOBREPOLJE
1313,STRUGE
1314,ROB
1315,VELIKE LAŠČE
1316,ORTNEK
1317,SODRAŽICA
1318,LOŠKI POTOK
1319,DRAGA
1330,KOČEVJE
1331,DOLENJA VAS
1332,STARA CERKEV
1336,KOSTEL
1337,OSILNICA
1338,KOČEVSKA REKA
1351,BREZOVICA PRI LJUBLJANI
1352,PRESERJE
1353,BOROVNICA
1354,HORJUL
1355,POLHOV GRADEC
1356,DOBROVA
1357,NOTRANJE GORICE
1358,LOG PRI BREZOVICI
1360,VRHNIKA
1370,LOGATEC
1372,HOTEDRŠICA
1373,ROVTE
1380,CERKNICA
1381,RAKEK
1382,BEGUNJE PRI CERKNICI
1384,GRAHOVO
1385,NOVA VAS
1386,STARI TRG PRI LOŽU
1410,ZAGORJE OB SAVI
1411,IZLAKE
1412,KISOVEC
1413,ČEMŠENIK
1414,PODKUM
1420,TRBOVLJE
1423,DOBOVEC
1430,HRASTNIK
1431,DOL PRI HRASTNIKU
1432,ZIDANI MOST
1433,RADEČE
1434,LOKA PRI ZIDANEM MOSTU
1501,MINISTRSTVO ZA NOTRANJE ZADEVE LJUBLJANA
1502,MINISTRSTVO ZA FINANCE LJUBLJANA
1503,OKROŽNO SODIŠČE LJUBLJANA
1504,GOSPODARSKA ZBORNICA SLOVENIJE   LJUBLJANA
1505,BANKA SLOVENIJE LJUBLJANA
1506,SLOVENSKE ŽELEZNICE LJUBLJANA
1507,ZAVOD ZA ZDRAVSTVENO ZAVAROVANJE SLOVENIJE
1509,ČZP DELO LJUBLJANA
1510,ČP DNEVNIK LJUBLJANA
1511,SLOVENIJALES LJUBLJANA
1512,CANKARJEVA ZALOŽBA LJUBLJANA
1513,SKB BANKA LJUBLJANA
1514,KOMPAS LJUBLJANA
1515,LITOSTROJ LJUBLJANA
1516,ELEKTRO LJUBLJANA
1517,A BANKA LJUBLJANA
1518,ZAVOD ZA POKOJNINSKO IN  INVALIDSKO ZAVAROV
1519,STANOVANJSKO PODJETJE LJUBLJANA
1520,NOVA LJUBLJANSKA BANKA LJUBLJANA
1521,ISKRA LJUBLJANA
1522,CHEMO LJUBLJANA
1523,CARINSKA UPRAVA SLOVENIJE LJUBLJANA
1524,CARINARNICA LJUBLJANA
1525,KLINIČNI CENTER LJUBLJANA
1526,LEK LJUBLJANA
1527,PETROL LJUBLJANA
1528,EMONA LJUBLJANA
1529,ŽITO LJUBLJANA
1530,BLAGOVNA BORZA LJUBLJANA
1531,GOLDEN PRODUCTS LJUBLJANA
1532,SALOMONOV OGLASNIK LJUBLJANA
1533,BTC LJUBLJANA
1534,OKRAJNO SODIŠČE LJUBLJANA
1535,MINISTRSTVO ZA PROMET IN ZVEZE LJUBLJANA
1536,MLADINSKA KNJIGA ZALOŽBA LJUBLJANA
1538,DZS D.D. LJUBLJANA
1550,RTV SLOVENIJA LJUBLJANA
2000,MARIBOR
2001,MARIBOR  - POŠTNI PREDALI
2201,ZGORNJA KUNGOTA
2204,MIKLAVŽ NA DRAVSKEM POLJU
2205,STARŠE
2206,MARJETA NA DRAVSKEM POLJU
2208,POHORJE
2211,PESNICA PRI MARIBORU
2212,ŠENTILJ V SLOVENSKIH GORICAH
2213,ZGORNJA VELKA
2214,SLADKI VRH
2215,CERŠAK
2221,JARENINA
2222,JAKOBSKI DOL
2223,JUROVSKI DOL
2229,MALEČNIK
2230,LENART V SLOVENSKIH GORICAH
2231,PERNICA
2232,VOLIČINA
2233,SVETA ANA V SLOVENSKIH   GORICAH
2234,BENEDIKT
2235,SVETA TROJICA V  SLOVENSKIH GORICAH
2236,CERKVENJAK
2241,SPODNJI DUPLEK
2242,ZGORNJA KORENA
2250,PTUJ
2252,DORNAVA
2253,DESTRNIK
2254,TRNOVSKA VAS
2255,VITOMARCI
2256,JURŠINCI
2257,POLENŠAK
2258,SVETI TOMAŽ
2259,IVANJKOVCI
2270,ORMOŽ
2272,GORIŠNICA
2273,PODGORCI
2274,VELIKA NEDELJA
2275,MIKLAVŽ PRI ORMOŽU
2276,KOG
2277,SREDIŠČE OB DRAVI
2281,MARKOVCI
2282,CIRKULANE
2283,ZAVRČ
2284,VIDEM PRI PTUJU
2285,ZGORNJI LESKOVEC
2286,PODLEHNIK
2287,ŽETALE
2288,HAJDINA
2289,STOPERCE
