ID_SR_SOLA,IME_SR_SOLA
0,PODATEK MANJKA
8,SREDNJE ŠOLE Z OPUŠČENIMI PROGRAMI
9,DRUGO
1001,SREDNJA ŠOLA VENO PILON AJDOVŠČINA
1002,ŠKOFIJSKA GIMNAZIJA VIPAVA
1101,LJUDSKA UNIVERZA AJDOVŠČINA
2001,GIMNAZIJA BREŽICE
2002,EKONOMSKA IN TRGOVSKA ŠOLA BREŽICE
3001,"SREDNJA VRTNARSKA, KMETIJSKA, GOSPODINJSKA ŠOLA CELJE"
3002,ŠOLSKI CENTER CELJE
3003,SREDNJA ŠOLA ŠTORE
3004,SREDNJA ŠOLA ZA STORITVENE DEJAVNOSTI IN LOGISTIKO CELJE
3005,SREDNJA TRGOVSKA ŠOLA CELJE
3006,SREDNJA EKONOMSKA ŠOLA CELJE
3007,SREDNJA ŠOLA ZA GOSTINSTVO IN TURIZEM CELJE
3008,SREDNJA ZDRAVSTVENA ŠOLA CELJE
3009,I. GIMNAZIJA V CELJU
3010,GIMNAZIJA CELJE - CENTER
3012,ŠOLA ZA HORTIKULTURO IN VIZUALNE UMETNOSTI CELJE
3013,ŠOLSKI CENTER ŠENTJUR
3014,POSLOVNO KOMERCIALNA ŠOLA CELJE
3015,EKONOMSKA ŠOLA CELJE
3101,LJUDSKA UNIVERZA CELJE
3102,ABITURA D.O.O. CELJE
4001,VZGOJNI ZAVOD PLANINA PRI RAKEKU
5001,SREDNJA ŠOLA ČRNOMELJ
5101,ZAVOD ZA IZOBRAŽEVANJE IN KULTURO ČRNOMELJ
6001,SREDNJA ŠOLA DOMŽALE
6101,CONTINUA - ZAVOD ZA IZOBRAŽEVANJE ODRASLIH
8001,SREDNJA ŠOLA ZA GOSTINSTVO IN TURIZEM RADENCI
8101,LJUDSKA UNIVERZA GORNJA RADGONA
9001,SREDNJA ŠOLA JOSIPA JURČIČA IVANČNA GORICA
9002,VZGOJNO-IZOBRAŽEVALNI ZAVOD VIŠNJA GORA
11001,GIMNAZIJA JURIJA VEGE IDRIJA
12001,GIMNAZIJA ILIRSKA BISTRICA
13001,SREDNJA ŠOLA PIETRO COPPO IZOLA
13002,SREDNJA GOSTINSKA IN TURISTIČNA ŠOLA IZOLA
13003,SREDNJA ZDRAVSTVENA ŠOLA IZOLA
13004,SREDNJA ŠOLA IZOLA
14001,SREDNJA ŠOLA JESENICE
14002,GIMNAZIJA JESENICE
14101,LJUDSKA UNIVERZA JESENICE
15001,"CENTER ZA IZOBRAŽEVANJE, REHABILITACIJO IN USPOSABLJANJE KAMNIK - SREDNJA ŠOLA"
15002,GIMNAZIJA IN SREDNJA ŠOLA RUDOLFA MAISTRA KAMNIK
15101,RIRO D.O.O. KAMNIK
16001,SREDNJA ŠOLA KOČEVJE
16002,GIMNAZIJA IN SREDNJA ŠOLA KOČEVJE
16101,LJUDSKA UNIVERZA KOČEVJE
17001,SREDNJA TEHNIŠKA ŠOLA KOPER
17002,SREDNJA EKONOMSKO-POSLOVNA ŠOLA KOPER
17003,GIMNAZIJA KOPER
17004,GIMNAZIJA GIAN  RINALDO CARLI  KOPER
17101,LJUDSKA UNIVERZA KOPER
17102,IZOBRAŽEVALNI CENTER MEMORY DUTOVLJE
17103,IZOBRAŽEVALNI CENTER MEMORY KOPER
18001,BIOTEHNIŠKI CENTER NAKLO
18002,ŠOLSKI CENTER KRANJ
18004,GIMNAZIJA KRANJ
18006,"SREDNJA TEKSTILNA, OBUTVENA IN GUMARSKA ŠOLA KRANJ"
18008,EKONOMSKO - STORITVENI IZOBRAŽEVALNI CENTER KRANJ
18009,GRADBENO STORITVENA ŠOLA KRANJ
18010,EKONOMSKO-TRGOVSKA ŠOLA KRANJ
18011,GIMNAZIJA FRANCETA PREŠERNA KRANJ
18012,"SREDNJA EKONOMSKA, STORITVENA IN GRADBENA ŠOLA KRANJ"
18101,LJUDSKA UNIVERZA KRANJ - CENTER ZA IZOBRAŽEVANJE IN KULTURO
18102,EDC - EDUKACIJSKI CENTER KRANJ
18103,B&B  D.O.O. KRANJ
18104,LJUDSKA UNIVERZA TRŽIČ
19001,ŠOLSKI CENTER KRŠKO - SEVNICA
19101,LJUDSKA UNIVERZA KRŠKO
22001,DVOJEZIČNA SREDNJA ŠOLA LENDAVA
22101,LJUDSKA UNIVERZA LENDAVA
23001,GIMNAZIJA LITIJA
23101,ZAVOD ZA IZOBRAŽEVANJE IN KULTURO LITIJA - LJUDSKA UNIVERZA
23102,IZOBRAŽEVALNI CENTER GEOSS LITIJA
24001,GIMNAZIJA BEŽIGRAD
24002,SREDNJA POKLICNA IN STROKOVNA ŠOLA BEŽIGRAD - LJUBLJANA
24003,ZAVOD ZA GLUHE IN NAGLUŠNE LJUBLJANA
24004,"SREDNJA GRADBENA, GEODETSKA IN OKOLJEVARSTVENA ŠOLA LJUBLJANA"
24005,"ŠOLSKI CENTER ZA POŠTO, EKONOMIJO IN TELEKOMUNIKACIJE LJUBLJANA"
24006,SREDNJA VZGOJITELJSKA ŠOLA IN GIMNAZIJA LJUBLJANA
24101,"EMONA EFEKTA, INFORMATIKA IN IZOBRAŽEVANJE"
24102,LANDIS D.O.O. LJUBLJANA
24103,CTU - CENTER ZA TEHNOLOŠKO USPOSABLJANJE
24104,GEA COLLEGE - POSLOVNOIZOBRAŽEVALNI CENTER LJUBLJANA
24108,CENTER ZA PERMANENTNO IZOBRAŽEVANJE CENE ŠTUPAR
24109,CENTER ZA GRADITELJSTVO LJUBLJANA
24110,ZAVOD ZA RAZISKAVO MATERIALA IN KONSTRUKCIJ LJUBLJANA
25001,"SREDNJA ŠOLA ZA FARMACIJO, KOZMETIKO IN ZDRAVSTVO LJUBLJANA"
25002,ELEKTROTEHNIŠKO-RAČUNALNIŠKA STROKOVNA ŠOLA IN GIMNAZIJA LJUBLJANA
25003,SREDNJA TRGOVSKA ŠOLA LJUBLJANA
25004,"EKONOMSKA ŠOLA LJUBLJANA, PREŠERNOVA C. 6"
25006,GIMNAZIJA JOŽETA PLEČNIKA LJUBLJANA
25007,GIMNAZIJA POLJANE
25008,SREDNJA ŠOLA ZA OBLIKOVANJE IN FOTOGRAFIJO LJUBLJANA
25009,KONSERVATORIJ ZA GLASBO IN BALET LJUBLJANA
25010,GIMNAZIJA LEDINA
25011,SREDNJA UPRAVNO-ADMINISTRATIVNA ŠOLA LJUBLJANA
25012,SREDNJA ZDRAVSTVENA ŠOLA LJUBLJANA
25013,"SREDNJA EKONOMSKA ŠOLA LJUBLJANA, ROŠKA C. 2"
25014,WALDORFSKA ŠOLA LJUBLJANA
25015,EVRO ŠOLA LJUBLJANA
25101,IZOBRAŽEVALNO SREDIŠČE MIKLOŠIČ
25103,PARATUS D.O.O.
26001,GIMNAZIJA MOSTE
26002,SREDNJA MEDIJSKA IN GRAFIČNA ŠOLA LJUBLJANA
26003,SREDNJA ŠOLA ZA GOSTINSTVO IN IN TURIZEM V LJUBLJANI
27001,SREDNJA ŠOLA TEHNIŠKIH STROK ŠIŠKA
27002,ŽELEZNIŠKA SREDNJA ŠOLA LJUBLJANA
27003,GIMNAZIJA ŠENTVID
27004,SREDNJA POLICIJSKA ŠOLA LJUBLJANA ŠMARTNO
27005,GIMNAZIJA ŠIŠKA
27006,SREDNJA FRIZERSKA ŠOLA LJUBLJANA
27007,ZAVOD SV. STANISLAVA - ŠKOFIJSKA KLASIČNA GIMNAZIJA
27101,CENTER ZA DOPISNO IZOBRAŽEVANJE UNIVERZUM
27102,ZARIS - ZAVOD ZA IZOBRAŽEVANJE LJUBLJANA
27103,"CETERA, D.O.O., CENTER ZA TEHNIČNI RAZVOJ, IZOBRAŽEVANJE IN ORGANIZACIJO"
27104,ČAS - ZASEBNA ŠOLA ZA VARNOSTNO IZOBRAŽEVANJE
27105,VARNOSTNO IZOBRAŽEVANJE
27106,ERUDIO - IZOBRAŽEVALNI CENTER LJUBLJANA
28001,SREDNJA STROJNA ŠOLA LJUBLJANA
28002,ŠOLSKI CENTER LJUBLJANA
28003,GIMNAZIJA VIČ
28004,SREDNJA LESARSKA ŠOLA LJUBLJANA
28005,SREDNJA AGROŽIVILSKA ŠOLA LJUBLJANA
28006,ZAVOD SV. FRANČIŠKA SALEŠKEGA - GIMNAZIJA ŽELIMLJE
28007,GIMNAZIJA ANTONA AŠKERCA
28008,SREDNJA KEMIJSKA ŠOLA LJUBLJANA
28009,BIOTEHNIŠKI IZOBRAŽEVALNI CENTER LJUBLJANA  - GIMNAZIJA IN VETERINARSKA ŠOLA
28010,BIOTEHNIŠKI IZOBRAŽEVALNI CENTER LJUBLJANA - ŽIVILSKA ŠOLA
28101,ZAVOD ZA TEHNIČNO IZOBRAŽEVANJE
28102,ZAVOD B2 - IZOBRAŽEVALNI CENTER
28103,ELEKTRO - SLOVENIJA ICES
28104,ZAVOD ZA SLEPO IN SLABOVIDNO MLADINO LJUBLJANA
28105,ZAVOD ZA IZOBRAŽEVANJE IN RAZVOJ AI -  AKADEMIJA ZA INOVATIVNOST
29001,GIMNAZIJA FRANCA MIKLOŠIČA LJUTOMER
30001,ZAVOD ZA VZGOJO IN IZOBRAŽEVANJE LOGATEC
31001,BIOTEHNIŠKA ŠOLA MARIBOR
31002,SREDNJA ŠOLA KMETIJSKE MEHANIZACIJE MARIBOR
31003,IZOBRAŽEVALNI CENTER PIRAMIDA MARIBOR - SREDNJA ŠOLA ZA PREHRANO IN ŽIVILSTVO
31004,ŠOLSKI CENTER  MARIBOR
31006,GIMNAZIJA IN SREDNJA KEMIJSKA ŠOLA RUŠE
31007,SREDNJA ELEKTRO-RAČUNALNIŠKA ŠOLA MARIBOR
31008,SREDNJA GRADBENA ŠOLA IN GIMNAZIJA MARIBOR
31009,LESARSKA ŠOLA MARIBOR
31010,SREDNJA TEKSTILNA ŠOLA MARIBOR
31011,PROMETNA ŠOLA MARIBOR
31012,SREDNJA TRGOVSKA ŠOLA MARIBOR
31013,SREDNJA EKONOMSKA ŠOLA MARIBOR
31014,SREDNJA ŠOLA ZA GOSTINSTVO IN TURIZEM MARIBOR
31015,SREDNJA ZDRAVSTVENA IN KOZMETIČNA ŠOLA  MARIBOR
31016,III. GIMNAZIJA MARIBOR
31017,KONSERVATORIJ ZA GLASBO IN BALET MARIBOR
31018,PRVA GIMNAZIJA MARIBOR
31019,II. GIMNAZIJA MARIBOR
31020,ŠKOFIJSKA GIMNAZIJA ANTONA MARTINA SLOMŠKA
31021,SREDNJA ŠOLA ZA OBLIKOVANJE MARIBOR
31101,"ANDRAGOŠKI ZAVOD MARIBOR, LJUDSKA UNIVERZA"
31102,DOBA - ZAVOD ZA IZOBRAŽEVANJE
31103,FORMULA - ZAVOD ZA IZOBRAŽEVANJE
31104,B2 - IZOBRAŽEVALNI CENTER MARIBOR
32001,SREDNJA ŠOLA METLIKA
34001,BIOTEHNIŠKA ŠOLA RAKIČAN
34002,SREDNJA POKLICNA IN TEHNIŠKA ŠOLA MURSKA SOBOTA
34003,EKONOMSKA ŠOLA MURSKA SOBOTA
34004,SREDNJA ZDRAVSTVENA ŠOLA MURSKA SOBOTA
34005,GIMNAZIJA MURSKA SOBOTA
34101,LJUDSKA UNIVERZA MURSKA SOBOTA - ZAVOD ZA PERMANENTNO IZOBRAŽEVANJE
35001,ŠOLSKI CENTER NOVA GORICA
35002,TEHNIŠKI ŠOLSKI CENTER NOVA GORICA
35004,SREDNJA EKONOMSKA IN TRGOVSKA ŠOLA NOVA GORICA
35005,GIMNAZIJA NOVA GORICA
35101,LJUDSKA UNIVERZA NOVA GORICA
36001,GRM NOVO MESTO - CENTER BIOTEHNIKE IN TURIZMA
36002,ŠOLSKI CENTER NOVO MESTO
36003,GIMNAZIJA NOVO MESTO
36004,EKONOMSKA ŠOLA NOVO MESTO
36005,SREDNJA ŠOLA ZA GOSTINSTVO IN TURIZEM NOVO MESTO
36006,KMETIJSKA ŠOLA GRM IN BIOTEHNIŠKA GIMNAZIJA
36101,RAZVOJNO-IZOBRAŽEVALNI CENTER NOVO MESTO
37001,GIMNAZIJA ORMOŽ
37101,LJUDSKA UNIVERZA ORMOŽ
38001,POMORSKI IN TEHNIŠKI IZOBRAŽEVALNI CENTER PORTOROŽ
38002,SREDNJA ZDRAVSTVENA ŠOLA PIRAN
