id,ime,kratica,id_obcine,id_univerze
1,PEDAGOŠKA FAKULTETA UL,UL PEF,61,1
3,FAKULTETA ZA ZDRAVSTVENE VEDE UM,UM FZV,70,2
4,FAKULTETA ZA UPRAVO UL,UL FU,61,1
5,PRAVNA FAKULTETA  UM,UM PF,70,2
6,FAKULTETA ZA SOCIALNO DELO UL,UL FSD,61,1
7,FAKULTETA ZA VARNOSTNE VEDE UM,UM FVV,70,2
9,FAKULTETA ZA POMORSTVO IN PROMET UL,UL FPP,90,1
10,FAKULTETA ZA KMETIJSTVO IN BIOSISTEMSKE VEDE UM,UM FKBV,70,2
11,ZDRAVSTVENA FAKULTETA UL,UL ZF,61,1
12,EKONOMSKO - POSLOVNA FAKULTETA  UM,UM EPF,70,2
13,FAKULTETA ZA ORGANIZACIJSKE VEDE  UM,UM FOV,52,2
14,FAKULTETA ZA STROJNIŠTVO  UM,UM FS,70,2
15,"FAKULTETA ZA ELEKTROTEHNIKO, RAČUNALNIŠTVO IN INFORMATIKO  UM",UM FERI,70,2
16,FAKULTETA ZA GRADBENIŠTVO  UM,UM FG,70,2
17,FAKULTETA ZA KEMIJO IN KEMIJSKO TEHNOLOGIJO UM,UM FKKT,70,2
18,FILOZOFSKA FAKULTETA UL,UL FF,61,1
19,EKONOMSKA FAKULTETA UL,UL EF,61,1
20,PRAVNA FAKULTETA UL,UL PF,61,1
21,FAKULTETA ZA DRUŽBENE VEDE UL,UL FDV,61,1
22,FAKULTETA ZA ŠPORT UL,UL F,61,1
23,FAKULTETA ZA STROJNIŠTVO UL,UL FS,61,1
25,FAKULTETA ZA ARHITEKTURO UL,UL FA,61,1
26,FAKULTETA ZA GRADBENIŠTVO IN GEODEZIJO UL,UL FGG,61,1
30,FAKULTETA ZA KEMIJO IN KEMIJSKO TEHNOLOGIJO UL,UL FKKT,61,1
31,FAKULTETA ZA FARMACIJO UL,UL FFA,61,1
32,UL NTF-ODDELEK ZA TEKSTILSTVO UL,UL NTF-TEK,61,1
34,BIOTEHNIŠKA FAKULTETA UL - ODDELEK ZA AGRONOMIJO,UL BF-AGR,61,1
35,BIOTEHNIŠKA FAKULTETA UL - ODDELEK ZA ŽIVILSTVO,UL BF-IV,61,1
36,BIOTEHNIŠKA FAKULTETA UL - ODDELEK ZA GOZDARSTVO IN OBNOVLJIVE GOZDNE VIRE,UL BF-GOZ,61,1
37,VETERINARSKA FAKULTETA UL,UL VF,61,1
38,BIOTEHNIŠKA FAKULTETA UL - ODDELEK ZA BIOLOGIJO,UL BF-BIO,61,1
39,BIOTEHNIŠKA FAKULTETA UL - ODDELEK ZA LESARSTVO,UL BF-LES,61,1
40,BIOTEHNIŠKA FAKULTETA UL - ODDELEK ZA ZOOTEHNIKO,UL BF-ZOO,61,1
41,MEDICINSKA FAKULTETA UL,UL MF,61,1
42,AKADEMIJA ZA LIKOVNO UMETNOST IN OBLIKOVANJE UL,UL ALUO,61,1
43,AKADEMIJA ZA GLASBO UL,UL AG,61,1
44,"AKADEMIJA ZA GLEDALIŠČE, RADIO, FILM IN TELEVIZIJO UL",UL AGRFT,61,1
47,FAKULTETA ZA MATEMATIKO IN FIZIKO UL,UL FMF,61,1
49,GEA COLLEGE - FAKULTETA ZA PODJETNIŠTVO,GEA COLLEGE - FP,90,0
50,TEOLOŠKA FAKULTETA UL,UL TEOF,61,1
59,VISOKA ŠOLA ZA UPRAVLJANJE IN POSLOVANJE,VUP,85,0
62,FAKULTETA ZA TURISTIČNE ŠTUDIJE - TURISTICA  UP,UP FT,90,3
63,FAKULTETA ZA RAČUNALNIŠTVO IN INFORMATIKO UL,UL FRI,61,1
64,FAKULTETA ZA ELEKTROTEHNIKO UL,UL FE,61,1
65,UL NTF-ODDELEK ZA MATERIALE IN METALURGIJO,UL NTF-MM,61,1
66,UL NTF-ODDELEK ZA  GEOTEHNOLOGIJO IN RUDARSTVO,UL NTF-GER,61,1
67,UL NTF-ODDELEK ZA GEOLOGIJO,UL NTF-GEO,61,1
68,FAKULTETA ZA MANAGEMENT UP,UP FM,50,3
71,BIOTEHNIŠKA FAKULTETA UL,UL BF,61,1
72,PEDAGOŠKA FAKULTETA UM,UM PEF,70,2
73,FAKULTETA ZA NARAVOSLOVJE IN MATEMATIKO UM,UM FNM,70,2
74,FAKULTETA ZA RAČUNALNIŠTVO IN INFORMATIKO IN FAKULTETA ZA MATEMATIKO UL,UL FRI-FMF,61,1
75,TEHNIŠKE FAKULTETE IN EKONOMSKO - POSLOVNA FAKULTETA  UM,UM TF-EPF,70,2
77,MEDICINSKA FAKULTETA UM,UM MF,70,2
78,FAKULTETA ZA LOGISTIKO UM,UM FL,70,2
79,FILOZOFSKA FAKULTETA UM,UM FF,70,2
80,FAKULTETA ZA HUMANISTIKO UNG,UNG FH,84,6
81,FAKULTETA ZA ZNANOSTI O OKOLJU UNG,UNG FZO,84,6
82,POSLOVNO-TEHNIKA FAKULTETA UNG,UNG PTF,84,6
83,VISOKA ŠOLA ZA VINOGRADNITVO IN VINARSTVO UNG,UNG VVV,84,6
